City,Metro,County,State,Population.Rank,Jan.16,May.16,Sep.16
New York,New York,Queens,NY,1,2335,2339,2324
Los Angeles,Los Angeles,Los Angeles,CA,2,2596,2662,2723
Chicago,Chicago,Cook,IL,3,1668,1686,1675
Houston,Houston,Harris,TX,4,1436,1446,1438
Philadelphia,Philadelphia,Philadelphia,PA,5,1196,1211,1220
Phoenix,Phoenix,Maricopa,AZ,6,1198,1236,1238
Las Vegas,Las Vegas,Clark,NV,7,1204,1225,1228
San Antonio,San Antonio,Bexar,TX,8,1230,1245,1234
San Diego,San Diego,San Diego,CA,9,2360,2428,2442
Dallas,Dallas-Fort Worth,Dallas,TX,10,1305,1347,1370
San Jose,San Jose,Santa Clara,CA,11,3296,3368,3363
Jacksonville,Jacksonville,Duval,FL,12,1148,1155,1141
San Francisco,San Francisco,San Francisco,CA,13,4547,4519,4488
Indianapolis,Indianapolis,Marion,IN,14,1058,1072,1083
Austin,Austin,Travis,TX,15,1778,1799,1795
Fort Worth,Dallas-Fort Worth,Tarrant,TX,16,1329,1351,1352
Detroit,Detroit,Wayne,MI,17,750,752,746
Columbus,Columbus,Franklin,OH,18,1127,1124,1124
Memphis,Memphis,Shelby,TN,19,848,849,846
Charlotte,Charlotte,Mecklenburg,NC,20,1252,1283,1285
El Paso,El Paso,El Paso,TX,21,1042,1016,1004
Boston,Boston,Suffolk,MA,22,2467,2509,2486
Seattle,Seattle,King,WA,23,2370,2454,2476
Baltimore,Baltimore,Baltimore City,MD,24,1325,1341,1316
Denver,Denver,Denver,CO,25,1946,1969,1978
Washington,Washington,District of Columbia,DC,26,2535,2553,2544
Nashville,Nashville,Davidson,TN,27,1477,1508,1525
Milwaukee,Milwaukee,Milwaukee,WI,28,968,1007,1003
Tucson,Tucson,Pima,AZ,29,1036,1052,1047
Portland,Portland,Multnomah,OR,30,1749,1815,1834
Oklahoma City,Oklahoma City,Oklahoma,OK,31,1116,1116,1088
Omaha,Omaha,Douglas,NE,32,1260,1285,1292
Albuquerque,Albuquerque,Bernalillo,NM,33,1197,1206,1202
Fresno,Fresno,Fresno,CA,34,1197,1214,1221
Sacramento,Sacramento,Sacramento,CA,35,1400,1459,1489
Mesa,Phoenix,Maricopa,AZ,36,1229,1265,1267
Long Beach,Los Angeles,Los Angeles,CA,37,2254,2326,2334
Kansas City,Kansas City,Jackson,MO,38,982,1007,1014
Virginia Beach,Virginia Beach,Virginia Beach City,VA,39,1547,1543,1523
Colorado Springs,Colorado Springs,El Paso,CO,40,1343,1369,1370
Atlanta,Atlanta,Fulton,GA,41,1432,1447,1464
Miami,Miami-Fort Lauderdale,Miami-Dade,FL,42,2150,2162,2134
Oakland,San Francisco,Alameda,CA,43,2718,2819,2890
Tulsa,Tulsa,Tulsa,OK,44,968,983,983
Cleveland,Cleveland,Cuyahoga,OH,45,833,842,834
Honolulu,Urban Honolulu,Honolulu,HI,46,2407,2448,2430
Minneapolis,Minneapolis-St Paul,Hennepin,MN,47,1489,1508,1530
Baton Rouge,Baton Rouge,East Baton Rouge,LA,48,1286,1298,1251
New Orleans,New Orleans,Orleans,LA,49,1500,1495,1411
Arlington,Dallas-Fort Worth,Tarrant,TX,50,1384,1418,1432
Raleigh,Raleigh,Wake,NC,51,1351,1376,1370
Wichita,Wichita,Sedgwick,KS,52,924,927,897
Tampa,Tampa,Hillsborough,FL,53,1289,1310,1306
Anaheim,Los Angeles,Orange,CA,54,2477,2539,2591
Santa Ana,Los Angeles,Orange,CA,55,2387,2464,2461
Aurora,Denver,Arapahoe,CO,56,1716,1758,1776
Saint Louis,St. Louis,Saint Louis City,MO,57,860,871,887
Corpus Christi,Corpus Christi,Nueces,TX,58,1417,1393,1367
Cincinnati,Cincinnati,Hamilton,OH,59,1040,1045,1069
Pittsburgh,Pittsburgh,Allegheny,PA,60,1111,1134,1121
Riverside,Riverside,Riverside,CA,61,1704,1742,1750
Marietta,Atlanta,Cobb,GA,62,1566,1589,1578
Anchorage,Anchorage,Anchorage,AK,63,1947,1960,1916
Bakersfield,Bakersfield,Kern,CA,64,1349,1342,1330
Saint Paul,Minneapolis-St Paul,Ramsey,MN,65,1351,1372,1376
Toledo,Toledo,Lucas,OH,66,779,790,788
Silver Spring,Washington,Montgomery,MD,67,2196,2176,2165
Lexington,Lexington,Fayette,KY,68,1154,1188,1205
Newark,New York,Essex,NJ,69,1452,1443,1497
Tallahassee,Tallahassee,Leon,FL,70,1208,1201,1202
Stockton,Stockton,San Joaquin,CA,71,1274,1322,1334
Plano,Dallas-Fort Worth,Collin,TX,72,1942,1952,1947
Buffalo,Buffalo,Erie,NY,73,860,868,868
Chandler,Phoenix,Maricopa,AZ,74,1412,1452,1460
Louisville,Louisville,Jefferson,KY,75,917,923,926
Henderson,Las Vegas,Clark,NV,76,1362,1376,1373
Modesto,Modesto,Stanislaus,CA,77,1242,1293,1326
Mobile,Mobile,Mobile,AL,78,959,930,924
Jersey City,New York,Hudson,NJ,79,2193,2168,2157
Lubbock,Lubbock,Lubbock,TX,80,1197,1182,1176
Glendale,Phoenix,Maricopa,AZ,81,1190,1234,1237
Durham,Durham,Durham,NC,82,1260,1286,1288
Orlando,Orlando,Orange,FL,83,1242,1274,1280
Norfolk,Virginia Beach,Norfolk City,VA,84,1245,1246,1245
Saint Petersburg,Tampa,Pinellas,FL,85,1262,1287,1298
Pensacola,Pensacola,Escambia,FL,86,963,992,983
Fort Wayne,Fort Wayne,Allen,IN,87,881,938,954
Greensboro,,Guilford,NC,88,978,984,977
Lincoln,Lincoln,Lancaster,NE,89,1250,1275,1269
San Bernardino,Riverside,San Bernardino,CA,90,1330,1369,1391
Corona,Riverside,Riverside,CA,91,2102,2124,2136
Chula Vista,San Diego,San Diego,CA,92,2291,2349,2377
Chesapeake,Virginia Beach,Chesapeake City,VA,93,1582,1589,1578
Hialeah,Miami-Fort Lauderdale,Miami-Dade,FL,94,1732,1770,1785
Madison,Madison,Dane,WI,95,1467,1464,1490
Garland,Dallas-Fort Worth,Dallas,TX,96,1339,1380,1390
Fontana,Riverside,San Bernardino,CA,97,1787,1818,1833
Fort Myers,Fort Myers,Lee,FL,98,1550,1541,1552
Knoxville,Knoxville,Knox,TN,99,950,996,1010
Laredo,Laredo,Webb,TX,100,1189,1221,1132
